"Date","Price","Open","High","Low","Change %"
"Jan 24, 2020","6.9367","6.9367","6.9367","6.9367","0.00%"
"Jan 23, 2020","6.9367","6.9060","6.9367","6.9060","0.44%"
"Jan 22, 2020","6.9066","6.9104","6.9196","6.8986","0.01%"
"Jan 21, 2020","6.9059","6.8773","6.9097","6.8765","0.57%"
"Jan 20, 2020","6.8669","6.8594","6.8670","6.8403","0.10%"
"Jan 17, 2020","6.8598","6.8757","6.8792","6.8525","-0.28%"
"Jan 16, 2020","6.8789","6.8849","6.8939","6.8762","-0.17%"
"Jan 15, 2020","6.8909","6.8938","6.8989","6.8837","0.10%"
"Jan 14, 2020","6.8841","6.8759","6.8895","6.8654","-0.14%"
"Jan 13, 2020","6.8937","6.9121","6.9157","6.8849","-0.37%"
"Jan 10, 2020","6.9192","6.9318","6.9398","6.9170","-0.18%"
"Jan 09, 2020","6.9318","6.9319","6.9362","6.9210","-0.21%"
"Jan 08, 2020","6.9462","6.9543","6.9556","6.9373","0.01%"
"Jan 07, 2020","6.9452","6.9679","6.9711","6.9290","-0.44%"
"Jan 06, 2020","6.9760","6.9686","6.9797","6.9683","0.15%"
"Jan 03, 2020","6.9655","6.9616","6.9759","6.9616","0.02%"
"Jan 02, 2020","6.9643","6.9597","6.9741","6.9569","0.02%"
"Jan 01, 2020","6.9632","6.9632","6.9657","6.9632","0.00%"
"Dec 31, 2019","6.9632","6.9832","6.9870","6.9556","-0.34%"
"Dec 30, 2019","6.9867","6.9958","6.9958","6.9783","-0.13%"
"Dec 27, 2019","6.9958","6.9932","7.0015","6.9916","-0.01%"
"Dec 26, 2019","6.9965","6.9891","7.0069","6.9880","0.10%"
"Dec 25, 2019","6.9894","7.0064","7.0064","6.9788","-0.26%"
"Dec 24, 2019","7.0075","7.0131","7.0151","7.0031","-0.07%"
"Dec 23, 2019","7.0127","7.0073","7.0142","7.0062","0.08%"
"Dec 20, 2019","7.0068","7.0102","7.0160","7.0030","-0.05%"
"Dec 19, 2019","7.0104","7.0006","7.0106","6.9971","0.08%"
"Dec 18, 2019","7.0050","7.0019","7.0129","6.9958","0.11%"
"Dec 17, 2019","6.9972","6.9954","7.0030","6.9910","0.05%"
"Dec 16, 2019","6.9935","6.9996","7.0084","6.9930","0.06%"
