"Date","Price","Open","High","Low","Change %"
"Feb 28, 2020","1.1026","1.1000","1.1055","1.0951","0.24%"
"Feb 27, 2020","1.1000","1.0882","1.1007","1.0879","1.09%"
"Feb 26, 2020","1.0881","1.0881","1.0910","1.0855","0.00%"
"Feb 25, 2020","1.0881","1.0854","1.0892","1.0830","0.25%"
"Feb 24, 2020","1.0854","1.0841","1.0873","1.0805","0.08%"
"Feb 21, 2020","1.0845","1.0785","1.0865","1.0784","0.56%"
"Feb 20, 2020","1.0785","1.0806","1.0822","1.0777","-0.19%"
"Feb 19, 2020","1.0806","1.0792","1.0813","1.0782","0.13%"
"Feb 18, 2020","1.0792","1.0837","1.0838","1.0785","-0.41%"
"Feb 17, 2020","1.0836","1.0832","1.0852","1.0821","0.04%"
"Feb 14, 2020","1.0832","1.0841","1.0863","1.0828","-0.08%"
"Feb 13, 2020","1.0841","1.0874","1.0890","1.0834","-0.29%"
"Feb 12, 2020","1.0873","1.0916","1.0927","1.0865","-0.39%"
"Feb 11, 2020","1.0916","1.0912","1.0926","1.0891","0.05%"
"Feb 10, 2020","1.0911","1.0951","1.0959","1.0908","-0.31%"
"Feb 07, 2020","1.0945","1.0983","1.0987","1.0942","-0.32%"
"Feb 06, 2020","1.0980","1.0999","1.1014","1.0963","-0.17%"
"Feb 05, 2020","1.0999","1.1046","1.1049","1.0994","-0.41%"
"Feb 04, 2020","1.1044","1.1060","1.1066","1.1033","-0.14%"
"Feb 03, 2020","1.1060","1.1093","1.1097","1.1036","-0.31%"
"Jan 31, 2020","1.1094","1.1032","1.1097","1.1016","0.56%"
"Jan 30, 2020","1.1032","1.1010","1.1040","1.1006","0.19%"
"Jan 29, 2020","1.1011","1.1023","1.1029","1.0992","-0.10%"
"Jan 28, 2020","1.1022","1.1020","1.1027","1.0998","0.04%"
"Jan 27, 2020","1.1018","1.1021","1.1039","1.1010","-0.06%"
"Jan 24, 2020","1.1025","1.1055","1.1063","1.1020","-0.26%"
"Jan 23, 2020","1.1054","1.1093","1.1110","1.1037","-0.35%"
"Jan 22, 2020","1.1093","1.1084","1.1100","1.1070","0.08%"
"Jan 21, 2020","1.1084","1.1096","1.1120","1.1081","-0.10%"
"Jan 20, 2020","1.1095","1.1091","1.1103","1.1076","0.05%"
"Jan 17, 2020","1.1090","1.1137","1.1144","1.1086","-0.42%"
"Jan 16, 2020","1.1137","1.1151","1.1174","1.1128","-0.13%"
"Jan 15, 2020","1.1151","1.1130","1.1165","1.1119","0.21%"
"Jan 14, 2020","1.1128","1.1135","1.1145","1.1103","-0.06%"
"Jan 13, 2020","1.1135","1.1125","1.1148","1.1113","0.12%"
"Jan 10, 2020","1.1122","1.1106","1.1131","1.1085","0.14%"
"Jan 09, 2020","1.1106","1.1105","1.1121","1.1092","0.01%"
"Jan 08, 2020","1.1105","1.1154","1.1170","1.1102","-0.43%"
"Jan 07, 2020","1.1153","1.1198","1.1199","1.1133","-0.38%"
"Jan 06, 2020","1.1195","1.1168","1.1208","1.1155","0.31%"
"Jan 03, 2020","1.1160","1.1172","1.1182","1.1125","-0.11%"
"Jan 02, 2020","1.1172","1.1212","1.1227","1.1164","-0.36%"
"Jan 01, 2020","1.1212","1.1214","1.1224","1.1206","0.00%"
"Dec 31, 2019","1.1212","1.1198","1.1241","1.1198","0.12%"
"Dec 30, 2019","1.1199","1.1175","1.1224","1.1171","0.20%"
"Dec 27, 2019","1.1177","1.1097","1.1188","1.1096","0.71%"
"Dec 26, 2019","1.1098","1.1092","1.1111","1.1082","0.06%"
"Dec 25, 2019","1.1091","1.1088","1.1106","1.1072","0.03%"
"Dec 24, 2019","1.1088","1.1089","1.1095","1.1069","0.00%"
"Dec 23, 2019","1.1088","1.1081","1.1097","1.1070","0.08%"
"Dec 20, 2019","1.1079","1.1121","1.1126","1.1065","-0.39%"
"Dec 19, 2019","1.1122","1.1113","1.1146","1.1108","0.08%"
"Dec 18, 2019","1.1113","1.1150","1.1156","1.1111","-0.33%"
"Dec 17, 2019","1.1150","1.1142","1.1176","1.1128","0.05%"
"Dec 16, 2019","1.1144","1.1123","1.1160","1.1123","0.21%"
"Dec 13, 2019","1.1121","1.1130","1.1201","1.1112","-0.08%"
"Dec 12, 2019","1.1130","1.1130","1.1156","1.1103","0.00%"
"Dec 11, 2019","1.1130","1.1092","1.1146","1.1070","0.33%"
"Dec 10, 2019","1.1093","1.1064","1.1098","1.1062","0.26%"
"Dec 09, 2019","1.1064","1.1056","1.1080","1.1052","0.05%"
"Dec 06, 2019","1.1059","1.1106","1.1111","1.1040","-0.41%"
"Dec 05, 2019","1.1104","1.1079","1.1110","1.1078","0.23%"
"Dec 04, 2019","1.1078","1.1082","1.1117","1.1067","-0.05%"
"Dec 03, 2019","1.1083","1.1079","1.1095","1.1066","0.04%"
"Dec 02, 2019","1.1079","1.1014","1.1091","1.1003","0.56%"
"Nov 29, 2019","1.1017","1.1009","1.1030","1.0981","0.07%"
"Nov 28, 2019","1.1009","1.0999","1.1020","1.0999","0.09%"
"Nov 27, 2019","1.0999","1.1019","1.1025","1.0991","-0.19%"
"Nov 26, 2019","1.1020","1.1014","1.1027","1.1007","0.05%"
"Nov 25, 2019","1.1014","1.1024","1.1033","1.1003","-0.09%"
"Nov 22, 2019","1.1024","1.1059","1.1087","1.1015","-0.32%"
"Nov 21, 2019","1.1059","1.1074","1.1098","1.1052","-0.13%"
"Nov 20, 2019","1.1073","1.1078","1.1082","1.1052","-0.05%"
"Nov 19, 2019","1.1079","1.1071","1.1084","1.1062","0.06%"
