"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2019","1.660","1.680","1.680","1.650","9.47M","-1.19%"
"Dec 09, 2019","1.680","1.700","1.720","1.680","4.46M","-0.59%"
"Dec 06, 2019","1.690","1.670","1.700","1.660","6.43M","1.20%"
"Dec 05, 2019","1.670","1.660","1.690","1.660","3.34M","0.00%"
"Dec 04, 2019","1.670","1.670","1.690","1.660","5.06M","0.00%"
"Dec 03, 2019","1.670","1.690","1.690","1.670","4.93M","-1.18%"
"Dec 02, 2019","1.690","1.700","1.720","1.670","8.02M","0.00%"
"Nov 29, 2019","1.690","1.720","1.720","1.680","4.90M","-1.17%"
"Nov 28, 2019","1.710","1.710","1.720","1.670","12.01M","-2.29%"
"Nov 27, 2019","1.750","1.760","1.790","1.710","5.66M","-0.57%"
"Nov 26, 2019","1.760","1.770","1.790","1.720","14.42M","-0.56%"
"Nov 25, 2019","1.770","1.790","1.800","1.750","5.86M","-0.56%"
"Nov 22, 2019","1.780","1.780","1.790","1.760","4.12M","0.00%"
"Nov 21, 2019","1.780","1.820","1.820","1.770","6.96M","-2.20%"
"Nov 20, 2019","1.820","1.850","1.860","1.810","13.00M","-2.15%"
"Nov 19, 2019","1.860","1.890","1.890","1.850","2.62M","-1.59%"
"Nov 18, 2019","1.890","1.870","1.890","1.840","3.06M","1.61%"
"Nov 15, 2019","1.860","1.840","1.870","1.840","1.52M","1.09%"
"Nov 14, 2019","1.840","1.890","1.890","1.830","5.24M","-2.65%"
"Nov 13, 2019","1.890","1.920","1.940","1.880","8.12M","-1.56%"
"Nov 12, 2019","1.920","1.920","1.940","1.910","3.30M","-0.52%"
"Nov 11, 2019","1.930","1.930","1.950","1.910","4.83M","-0.52%"
"Nov 08, 2019","1.940","1.920","1.940","1.900","5.28M","1.04%"
"Nov 07, 2019","1.920","1.910","1.940","1.900","9.86M","1.59%"
"Nov 06, 2019","1.890","1.920","1.920","1.890","1.55M","-1.05%"
"Nov 05, 2019","1.910","1.920","1.930","1.890","4.96M","0.00%"
"Nov 04, 2019","1.910","1.900","1.930","1.890","6.44M","0.53%"
"Nov 01, 2019","1.900","1.910","1.910","1.890","2.32M","-0.52%"
"Oct 31, 2019","1.910","1.890","1.910","1.880","7.01M","1.06%"
"Oct 30, 2019","1.890","1.910","1.920","1.880","5.12M","-1.05%"
"Oct 29, 2019","1.910","1.900","1.930","1.890","9.05M","2.14%"
"Oct 25, 2019","1.870","1.900","1.910","1.870","4.10M","-1.58%"
"Oct 24, 2019","1.900","1.870","1.900","1.830","5.49M","2.15%"
"Oct 23, 2019","1.860","1.870","1.870","1.810","7.04M","0.00%"
"Oct 22, 2019","1.860","1.910","1.910","1.800","8.22M","-2.62%"
"Oct 21, 2019","1.910","1.910","1.930","1.890","4.85M","0.00%"
"Oct 18, 2019","1.910","1.880","1.910","1.870","7.44M","1.06%"
"Oct 17, 2019","1.890","1.900","1.900","1.850","5.94M","-0.53%"
"Oct 16, 2019","1.900","1.860","1.900","1.860","9.83M","3.26%"
"Oct 15, 2019","1.840","1.750","1.850","1.750","12.75M","5.14%"
"Oct 14, 2019","1.750","1.720","1.750","1.710","3.43M","2.34%"
"Oct 11, 2019","1.710","1.680","1.730","1.670","7.11M","3.64%"
"Oct 10, 2019","1.650","1.700","1.710","1.650","14.91M","-2.94%"
"Oct 09, 2019","1.700","1.700","1.710","1.680","8.74M","0.00%"
"Oct 08, 2019","1.700","1.700","1.720","1.670","25.80M","0.59%"
"Oct 07, 2019","1.690","1.690","1.700","1.670","16.03M","0.60%"
"Oct 04, 2019","1.680","1.710","1.710","1.670","11.29M","-1.18%"
"Oct 03, 2019","1.700","1.730","1.740","1.690","10.85M","-2.30%"
"Oct 02, 2019","1.740","1.770","1.770","1.740","8.05M","-1.69%"
"Oct 01, 2019","1.770","1.770","1.780","1.760","2.59M","0.57%"
"Sep 30, 2019","1.760","1.790","1.790","1.760","8.93M","-1.12%"
"Sep 27, 2019","1.780","1.800","1.800","1.770","5.73M","-1.11%"
"Sep 26, 2019","1.800","1.800","1.810","1.780","4.83M","0.00%"
"Sep 25, 2019","1.800","1.820","1.820","1.790","3.03M","-0.55%"
"Sep 24, 2019","1.810","1.810","1.820","1.800","4.33M","0.00%"
"Sep 23, 2019","1.810","1.800","1.820","1.790","7.06M","0.00%"
"Sep 20, 2019","1.810","1.810","1.810","1.780","6.40M","1.12%"
"Sep 19, 2019","1.790","1.800","1.800","1.780","3.87M","-0.56%"
"Sep 18, 2019","1.800","1.780","1.800","1.770","6.52M","0.56%"
"Sep 17, 2019","1.790","1.790","1.800","1.760","11.36M","-1.10%"
"Sep 13, 2019","1.810","1.820","1.820","1.800","5.43M","0.56%"
"Sep 12, 2019","1.800","1.810","1.820","1.780","10.35M","-1.10%"
"Sep 11, 2019","1.820","1.820","1.830","1.790","11.84M","0.55%"
"Sep 10, 2019","1.810","1.830","1.840","1.800","7.97M","-0.55%"
"Sep 06, 2019","1.820","1.810","1.830","1.800","5.50M","1.68%"
"Sep 05, 2019","1.790","1.790","1.800","1.780","4.26M","0.56%"
"Sep 04, 2019","1.780","1.780","1.790","1.760","5.40M","0.56%"
"Sep 03, 2019","1.770","1.800","1.810","1.770","7.17M","-1.12%"
"Aug 30, 2019","1.790","1.780","1.800","1.760","7.36M","2.29%"
"Aug 29, 2019","1.750","1.750","1.770","1.710","15.66M","-2.78%"
"Aug 28, 2019","1.800","1.790","1.800","1.760","4.48M","1.12%"
"Aug 27, 2019","1.780","1.770","1.800","1.770","5.59M","0.56%"
"Aug 26, 2019","1.770","1.780","1.790","1.760","8.81M","-1.67%"
"Aug 23, 2019","1.800","1.810","1.820","1.800","6.37M","-1.10%"
"Aug 22, 2019","1.820","1.820","1.840","1.800","4.69M","0.00%"
"Aug 21, 2019","1.820","1.860","1.860","1.810","8.26M","-1.62%"
"Aug 20, 2019","1.850","1.860","1.870","1.840","4.77M","-1.07%"
"Aug 19, 2019","1.870","1.870","1.880","1.840","3.18M","1.08%"
"Aug 16, 2019","1.850","1.860","1.860","1.820","3.84M","-0.54%"
"Aug 15, 2019","1.860","1.820","1.860","1.800","6.01M","1.09%"
"Aug 14, 2019","1.840","1.880","1.880","1.830","5.32M","-0.54%"
"Aug 13, 2019","1.850","1.900","1.900","1.820","8.76M","-1.60%"
"Aug 09, 2019","1.880","1.820","1.900","1.820","10.29M","3.87%"
"Aug 08, 2019","1.810","1.790","1.810","1.760","10.55M","1.12%"
"Aug 07, 2019","1.790","1.820","1.830","1.780","10.20M","-1.10%"
"Aug 06, 2019","1.810","1.800","1.860","1.740","35.89M","-0.55%"
"Aug 05, 2019","1.820","1.910","1.910","1.820","18.88M","-4.71%"
"Aug 02, 2019","1.910","1.950","1.950","1.900","13.66M","-1.55%"
"Aug 01, 2019","1.940","1.960","2.000","1.930","24.44M","-1.02%"
"Jul 31, 2019","1.960","2.050","2.060","1.950","41.30M","-3.45%"
"Jul 29, 2019","2.030","1.990","2.150","1.980","44.48M","4.10%"
"Jul 26, 2019","1.950","1.970","2.018","1.950","30.64M","-0.71%"
"Jul 25, 2019","1.964","1.964","1.970","1.950","12.57M","0.36%"
"Jul 24, 2019","1.957","1.977","1.977","1.957","12.77M","-0.36%"
"Jul 23, 2019","1.964","1.970","1.977","1.957","14.80M","-0.66%"
"Jul 22, 2019","1.977","1.970","1.984","1.964","9.60M","0.66%"
"Jul 19, 2019","1.964","1.964","1.970","1.957","7.12M","0.36%"
"Jul 18, 2019","1.957","1.991","1.998","1.957","10.78M","-1.36%"
"Jul 17, 2019","1.984","1.998","1.998","1.970","6.49M","-0.35%"
"Jul 16, 2019","1.991","2.005","2.012","1.977","11.17M","-0.35%"
"Jul 15, 2019","1.998","2.005","2.012","1.991","4.45M","0.35%"
"Jul 12, 2019","1.991","2.012","2.025","1.991","8.55M","-0.35%"
"Jul 11, 2019","1.998","1.984","2.012","1.977","4.78M","1.06%"
"Jul 10, 2019","1.977","2.025","2.032","1.970","15.90M","-2.71%"
"Jul 09, 2019","2.032","2.039","2.053","2.025","6.73M","-0.34%"
"Jul 08, 2019","2.039","2.039","2.059","2.025","7.35M","0.34%"
"Jul 05, 2019","2.032","2.053","2.053","2.025","5.44M","-0.68%"
"Jul 04, 2019","2.046","2.039","2.066","2.032","12.16M","1.39%"
"Jul 03, 2019","2.018","1.984","2.039","1.984","23.16M","1.71%"
"Jul 02, 2019","1.984","1.929","1.984","1.916","16.91M","3.93%"
"Jul 01, 2019","1.909","1.882","1.929","1.882","9.26M","2.19%"
"Jun 28, 2019","1.868","1.882","1.882","1.868","7.13M","-0.37%"
"Jun 27, 2019","1.875","1.888","1.895","1.875","8.29M","-0.37%"
"Jun 26, 2019","1.882","1.875","1.895","1.868","5.03M","0.37%"
"Jun 25, 2019","1.875","1.882","1.895","1.875","8.47M","-0.37%"
"Jun 24, 2019","1.882","1.895","1.902","1.882","5.46M","0.37%"
"Jun 21, 2019","1.875","1.875","1.895","1.868","6.62M","0.37%"
"Jun 20, 2019","1.868","1.902","1.902","1.868","9.78M","-1.06%"
"Jun 19, 2019","1.888","1.902","1.923","1.882","6.58M","0.32%"
"Jun 18, 2019","1.882","1.936","1.936","1.882","18.61M","-2.44%"
"Jun 17, 2019","1.929","1.936","1.943","1.929","5.30M","-0.36%"
"Jun 14, 2019","1.936","1.943","1.950","1.936","4.62M","0.00%"
"Jun 13, 2019","1.936","1.970","1.970","1.936","7.72M","-1.07%"
"Jun 12, 2019","1.957","1.950","1.964","1.929","7.91M","0.00%"
"Jun 11, 2019","1.957","1.991","1.998","1.957","11.82M","-1.71%"
"Jun 10, 2019","1.991","1.984","1.998","1.984","6.70M","0.35%"
"Jun 07, 2019","1.984","1.970","2.005","1.964","19.10M","1.38%"
"Jun 04, 2019","1.957","1.964","1.977","1.957","9.01M","-0.66%"
"Jun 03, 2019","1.970","1.977","1.977","1.950","7.88M","-0.35%"
"May 31, 2019","1.977","1.957","1.977","1.957","13.22M","1.38%"
"May 30, 2019","1.950","2.059","2.087","1.923","92.25M","8.33%"
"May 29, 2019","1.800","1.786","1.813","1.779","3.50M","0.39%"
"May 28, 2019","1.793","1.765","1.793","1.752","10.83M","2.75%"
"May 27, 2019","1.745","1.704","1.779","1.676","9.30M","4.12%"
"May 24, 2019","1.676","1.690","1.690","1.656","8.64M","0.00%"
"May 23, 2019","1.676","1.697","1.704","1.669","9.45M","-1.24%"
"May 21, 2019","1.697","1.724","1.731","1.690","6.04M","-1.16%"
"May 17, 2019","1.717","1.731","1.758","1.717","5.11M","-0.41%"
"May 16, 2019","1.724","1.779","1.779","1.724","3.94M","-1.93%"
"May 15, 2019","1.758","1.738","1.772","1.738","5.41M","1.56%"
"May 14, 2019","1.731","1.710","1.752","1.710","10.90M","0.00%"
"May 13, 2019","1.731","1.806","1.806","1.717","6.75M","-2.70%"
"May 10, 2019","1.779","1.820","1.841","1.772","6.98M","-1.88%"
"May 09, 2019","1.813","1.758","1.813","1.752","5.07M","3.13%"
"May 08, 2019","1.758","1.779","1.786","1.752","6.01M","-1.57%"
"May 07, 2019","1.786","1.813","1.820","1.786","4.72M","-2.62%"
"May 06, 2019","1.834","1.834","1.841","1.813","3.13M","-1.08%"
"May 03, 2019","1.854","1.827","1.861","1.813","8.90M","3.00%"
