"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12, 2020","40.20","41.08","41.08","40.20","5.80K","-2.38%"
"Mar 11, 2020","41.18","41.80","41.80","41.04","2.70K","0.05%"
"Mar 10, 2020","41.16","40.50","41.20","40.20","5.30K","0.88%"
"Mar 09, 2020","40.80","41.70","41.70","40.80","14.40K","-2.39%"
"Mar 06, 2020","41.80","41.82","41.82","41.80","0.80K","0.00%"
"Mar 05, 2020","41.80","41.80","41.80","41.80","0.20K","0.24%"
"Mar 04, 2020","41.70","41.70","42.48","41.70","3.50K","0.14%"
"Mar 03, 2020","41.64","41.80","41.90","41.56","3.70K","-0.38%"
"Mar 02, 2020","41.80","43.84","43.84","41.70","10.50K","-1.74%"
"Feb 28, 2020","42.54","43.40","43.40","42.40","10.70K","-2.97%"
"Feb 27, 2020","43.84","43.88","43.88","43.84","3.10K","-0.09%"
"Feb 26, 2020","43.88","44.50","44.50","43.02","6.30K","-1.39%"
"Feb 25, 2020","44.50","43.50","44.50","43.00","4.70K","0.04%"
"Feb 24, 2020","44.48","45.72","45.72","43.52","19.30K","-2.84%"
"Feb 21, 2020","45.78","44.98","46.00","44.98","40.30K","2.60%"
"Feb 20, 2020","44.62","44.00","44.68","44.00","17.50K","1.50%"
"Feb 19, 2020","43.96","43.70","44.08","43.68","10.10K","1.38%"
"Feb 18, 2020","43.36","42.60","43.86","42.60","14.60K","2.02%"
"Feb 17, 2020","42.50","41.50","42.52","41.50","8.70K","2.41%"
"Feb 14, 2020","41.50","40.50","41.54","40.50","5.20K","2.47%"
"Feb 13, 2020","40.50","40.24","40.60","40.24","20.40K","0.60%"
"Feb 12, 2020","40.26","40.24","40.30","40.24","16.40K","0.05%"
"Feb 11, 2020","40.24","40.20","40.28","40.20","10.50K","0.10%"
"Feb 10, 2020","40.20","40.40","40.40","40.16","10.60K","-0.50%"
"Feb 07, 2020","40.40","40.50","40.64","40.22","10.20K","-1.51%"
"Feb 06, 2020","41.02","40.40","41.50","40.40","7.70K","1.79%"
"Feb 05, 2020","40.30","40.20","40.30","40.16","10.30K","0.25%"
"Feb 04, 2020","40.20","40.12","40.24","40.12","11.50K","0.45%"
"Feb 03, 2020","40.02","41.00","41.00","40.02","17.80K","-2.39%"
"Jan 31, 2020","41.00","41.62","41.64","41.00","17.80K","-1.44%"
"Jan 30, 2020","41.60","41.00","41.60","41.00","12.20K","1.46%"
"Jan 29, 2020","41.00","42.00","42.00","40.82","13.60K","-0.24%"
"Jan 28, 2020","41.10","42.00","42.00","40.00","76.60K","-2.14%"
"Jan 24, 2020","42.00","43.10","43.10","42.00","11.80K","-2.55%"
"Jan 23, 2020","43.10","43.70","43.70","43.10","6.90K","-1.37%"
"Jan 22, 2020","43.70","44.70","44.70","43.70","8.00K","-2.24%"
"Jan 21, 2020","44.70","44.98","45.00","44.70","4.60K","-0.80%"
"Jan 20, 2020","45.06","45.10","45.10","44.96","18.90K","-0.09%"
"Jan 17, 2020","45.10","45.50","45.50","45.10","10.00K","-0.88%"
"Jan 16, 2020","45.50","46.18","46.20","45.00","34.40K","-1.47%"
"Jan 15, 2020","46.18","46.40","46.40","46.18","4.80K","-0.99%"
"Jan 14, 2020","46.64","47.10","47.10","46.36","7.80K","-1.40%"
"Jan 13, 2020","47.30","47.72","47.72","47.30","4.60K","-0.88%"
"Jan 10, 2020","47.72","47.90","47.90","47.72","1.60K","-0.17%"
"Jan 09, 2020","47.80","48.00","48.00","47.80","1.10K","-0.42%"
"Jan 08, 2020","48.00","49.90","49.90","47.80","5.00K","-2.04%"
"Jan 07, 2020","49.00","49.10","49.40","49.00","8.10K","-0.20%"
"Jan 06, 2020","49.10","49.66","49.66","49.10","3.30K","-0.12%"
"Jan 03, 2020","49.16","49.30","49.30","49.02","5.60K","-0.28%"
"Jan 02, 2020","49.30","49.02","49.50","49.02","0.80K","0.41%"
"Dec 31, 2019","49.10","50.20","50.20","49.10","6.20K","-1.80%"
"Dec 30, 2019","50.00","49.40","50.00","49.40","10.20K","1.63%"
"Dec 27, 2019","49.20","48.02","49.40","48.00","7.50K","2.50%"
"Dec 26, 2019","48.00","47.10","48.00","47.10","18.00K","1.52%"
"Dec 24, 2019","47.28","47.20","47.30","47.00","2.80K","0.17%"
"Dec 23, 2019","47.20","47.20","47.20","46.50","22.90K","-0.08%"
"Dec 20, 2019","47.24","46.48","47.30","46.48","16.30K","1.64%"
"Dec 19, 2019","46.48","46.20","46.48","46.00","9.40K","1.04%"
"Dec 18, 2019","46.00","47.20","47.20","45.62","40.70K","-3.56%"
"Dec 17, 2019","47.70","48.90","48.90","47.70","27.30K","-2.61%"
"Dec 16, 2019","48.98","49.96","49.98","48.98","2.40K","-1.05%"
"Dec 13, 2019","49.50","50.00","50.00","49.50","3.80K","-0.60%"
"Dec 12, 2019","49.80","50.00","50.00","49.70","13.30K","-0.40%"
"Dec 11, 2019","50.00","50.50","50.50","49.94","21.80K","0.12%"
"Dec 10, 2019","49.94","50.30","50.50","49.94","15.30K","-1.03%"
"Dec 09, 2019","50.46","50.68","50.68","50.40","6.30K","0.32%"
"Dec 06, 2019","50.30","50.30","50.30","50.28","4.60K","0.16%"
"Dec 05, 2019","50.22","50.20","50.50","50.10","28.30K","-0.59%"
"Dec 04, 2019","50.52","51.00","51.20","50.52","11.10K","-0.94%"
"Dec 03, 2019","51.00","51.26","51.26","50.92","11.90K","-0.58%"
"Dec 02, 2019","51.30","55.80","55.80","49.90","75.60K","-8.06%"
"Nov 29, 2019","55.80","57.06","57.06","55.80","24.30K","-2.24%"
"Nov 28, 2019","57.08","57.08","57.08","57.08","0.20K","0.00%"
"Nov 27, 2019","57.08","57.06","57.48","57.06","1.40K","-0.70%"
"Nov 25, 2019","57.48","57.30","57.58","57.30","2.90K","0.45%"
"Nov 22, 2019","57.22","57.28","57.28","57.18","0.60K","-0.14%"
"Nov 21, 2019","57.30","57.70","57.70","57.18","2.60K","-0.73%"
"Nov 19, 2019","57.72","57.60","57.72","57.20","0.90K","0.21%"
"Nov 18, 2019","57.60","57.78","57.78","57.60","4.20K","-0.48%"
"Nov 15, 2019","57.88","57.86","57.88","57.86","3.50K","-0.21%"
"Nov 14, 2019","58.00","57.56","58.00","57.50","4.30K","0.80%"
"Nov 13, 2019","57.54","57.96","57.96","57.54","0.90K","-0.66%"
"Nov 12, 2019","57.92","57.92","57.92","57.92","0.60K","0.00%"
"Nov 11, 2019","57.92","58.00","58.00","57.86","2.90K","-0.14%"
"Nov 08, 2019","58.00","58.00","58.00","57.90","3.10K","0.00%"
"Nov 07, 2019","58.00","58.00","58.00","58.00","2.60K","0.17%"
"Nov 06, 2019","57.90","58.00","58.00","57.90","1.50K","-0.17%"
"Nov 05, 2019","58.00","58.00","58.02","57.98","3.40K","0.03%"
"Nov 04, 2019","57.98","58.04","58.04","57.98","56.50K","-0.07%"
"Nov 01, 2019","58.02","58.08","58.08","57.90","4.70K","-0.10%"
"Oct 31, 2019","58.08","58.08","58.12","58.00","6.70K","-0.07%"
"Oct 30, 2019","58.12","58.06","58.14","58.04","14.10K","0.21%"
"Oct 29, 2019","58.00","58.10","58.10","58.00","5.30K","0.00%"
"Oct 25, 2019","58.00","58.00","58.00","57.80","1.30K","-0.17%"
"Oct 24, 2019","58.10","58.06","58.10","58.06","1.00K","-0.03%"
"Oct 23, 2019","58.12","57.90","58.12","57.90","0.40K","0.38%"
"Oct 22, 2019","57.90","57.90","57.90","57.90","0.40K","0.17%"
"Oct 21, 2019","57.80","58.18","58.18","57.80","7.20K","-0.34%"
"Oct 17, 2019","58.00","58.60","58.60","58.00","1.90K","-1.02%"
"Oct 16, 2019","58.60","58.60","58.60","58.60","0.70K","0.00%"
"Oct 15, 2019","58.60","58.80","58.80","57.54","5.30K","1.42%"
"Oct 14, 2019","57.78","57.90","57.90","57.78","2.40K","-0.21%"
"Oct 09, 2019","57.90","57.82","57.90","57.82","1.10K","-0.72%"
"Oct 08, 2019","58.32","58.32","58.32","58.02","0.90K","0.00%"
"Oct 07, 2019","58.32","58.40","58.50","58.10","2.60K","-0.14%"
"Oct 04, 2019","58.40","58.30","58.48","58.30","1.20K","0.17%"
"Oct 03, 2019","58.30","59.00","59.00","58.30","1.60K","-2.02%"
"Oct 02, 2019","59.50","59.68","59.68","59.50","0.20K","-0.83%"
"Oct 01, 2019","60.00","60.00","60.00","60.00","0.10K","0.00%"
"Sep 30, 2019","60.00","60.00","60.00","60.00","0.20K","0.00%"
"Sep 27, 2019","60.00","59.72","60.00","59.72","22.30K","0.70%"
"Sep 26, 2019","59.58","59.20","59.62","59.18","4.70K","0.68%"
"Sep 25, 2019","59.18","58.96","59.18","58.96","4.10K","0.71%"
